Project	Fully-Qualified Class Name	Module	Description
client	com.l3com.apps.adjustdeltas.controllers.AdjustDeltasController.java	Adjust Deltas	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.adjustdeltas.data.DeltaChangeWrapper.java	Adjust Deltas	Adds extra functionality to JAXB-generated classes by compositing a JAXB message object within a wrapper object. Common functionality provided by wrapper classes includes boolean flags that indicate whether an object is selected within a list or table.
client	com.l3com.apps.adjustdeltas.data.GetSet.java	Adjust Deltas	"A utility class containing accessor and mutator methods for an object. ""GetSet""classes are used by both view and model classes. In views, they provide the rendered (or user-friendly) value for each of an object's fields. In models, they provide the raw value for each field. If a field is editable by the user, a GetSet class provides ""reverse-translation""between what the user enters and the allowable values and/or data types for a field."
client	com.l3com.apps.adjustdeltas.gui.filter.deltachange.DeltaChangeFilterPopup.java	Adjust Deltas	A graphical component that displays the filters that can be applied to a table column.
client	com.l3com.apps.adjustdeltas.gui.filter.deltachange.DeltaChangeFilterRow.java	Adjust Deltas	A row in a FilterPopup table that contains a checkbox and a value that can be applied as a table filter by checking or unchecking the checkbox.
client	com.l3com.apps.adjustdeltas.gui.filter.deltachange.DeltaChangeTableHeaderRenderer.java	Adjust Deltas	"Renders the column headers in a table that is filterable. Displays an icon to indicate whether a column currently has filters applied. Displays a second icon to indicate if the column is currently sorted, and in what direction."
client	com.l3com.apps.adjustdeltas.gui.filter.deltachange.DeltaChangeTableModel.java	Adjust Deltas	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustdeltas.gui.filter.deltachange.DeltaChangeTableSorter.java	Adjust Deltas	Contains the logic for how to compare and sort the objects in a table based on the sort criteria the user has applied to the table's columns
client	com.l3com.apps.adjustdeltas.gui.filter.resourcecombination.ResourceCombinationTableModel.java	Adjust Deltas	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.adjustdeltas.gui.MainWindow.java	Adjust Deltas	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
